Zaman,RPM,Hiz,Hararet,MotorYuku,GazKelebegi,EmmeSicaklik,YakitSeviyesi,AnlikTuketim
0.0,800,0,85,20,10,30,45.5,0.84
0.7,1726,10,85,39,33,30,45.5,18.02
1.0,2179,16,86,49,43,30,45.5,14.22
1.3,2577,21,86,57,53,30,45.5,12.83
1.6,2912,25,86,63,60,30,45.5,12.17
1.9,3237,30,86,69,67,30,45.5,11.28
2.2,3530,34,87,73,72,30,45.5,10.85
2.5,3774,38,87,77,76,30,45.5,10.38
2.8,3977,43,87,79,79,30,45.5,9.67
3.2,4140,47,88,79,79,30,45.5,9.21
3.5,4244,51,88,79,79,30,45.5,8.69
3.8,4295,55,88,76,76,30,45.5,8.16
4.1,4289,58,89,72,71,31,45.5,7.72
4.4,4226,62,89,67,65,31,45.5,7.12
4.8,4108,65,89,61,58,31,45.5,6.61
5.1,3935,67,89,54,49,31,45.5,6.14
5.4,3713,70,90,45,40,31,45.5,5.54
5.7,3452,72,90,37,29,31,45.5,5.01
6.0,3143,74,90,27,19,31,45.5,4.44
6.3,2796,76,90,21,11,31,45.5,3.85
6.6,2431,77,91,30,22,31,45.5,3.3
7.0,2021,78,91,40,33,31,45.5,2.71
7.3,1612,79,91,48,43,31,45.5,2.13
7.6,1180,79,91,56,52,31,45.5,1.56
7.9,856,79,92,63,60,31,45.5,1.13
8.2,1301,79,92,69,67,31,45.5,1.72
8.5,1728,79,92,74,73,32,45.5,2.29
8.8,2157,78,92,77,77,32,45.5,2.89
9.2,2554,77,92,79,79,32,45.5,3.46
9.5,2943,75,93,79,79,32,45.5,4.1
9.8,3266,73,93,78,78,32,45.5,4.67
10.1,3550,71,93,76,75,32,45.5,5.22
10.4,3813,69,93,72,71,32,45.5,5.77
10.8,4020,66,93,66,64,32,45.5,6.36
11.1,4168,63,93,60,57,32,45.5,6.91
11.4,4261,60,94,52,48,32,45.5,7.42
11.7,4299,57,94,44,38,32,45.5,7.88
12.0,4281,53,94,35,28,32,45.5,8.44
12.4,4206,49,94,26,17,32,45.5,8.97
12.7,4083,45,94,22,13,32,45.5,9.48
13.0,3918,41,94,31,23,33,45.5,9.99
13.3,3695,37,94,40,34,33,45.5,10.43
13.6,3413,32,94,49,44,33,45.5,11.14
13.9,3101,28,94,57,53,33,45.5,11.57
14.2,2741,23,94,64,61,33,45.5,12.45
14.6,2352,18,94,70,68,33,45.5,13.66
14.9,1945,13,94,74,74,33,45.5,15.62
15.2,1541,8,94,77,77,33,45.4,20.12
15.5,1123,3,94,79,79,33,45.4,39.07
15.8,902,1,94,79,79,33,45.4,0.94
16.1,1329,6,94,78,78,33,45.4,23.13
16.4,1752,10,94,76,75,33,45.4,18.32
16.7,2152,15,94,72,71,33,45.4,15.0
17.0,2536,20,94,67,65,33,45.4,13.26
17.3,2901,25,94,61,58,33,45.4,12.12
17.6,3239,30,94,54,49,33,45.4,11.28
17.9,3528,34,94,46,40,33,45.4,10.84
18.2,3772,38,94,37,30,33,45.4,10.37
18.6,3978,43,94,28,20,34,45.4,9.67
18.9,4140,47,94,20,10,34,45.4,9.21
19.2,4244,51,94,30,21,34,45.4,8.69
19.5,4295,55,94,39,32,34,45.4,8.16
19.8,4291,58,94,47,42,34,45.4,7.73
20.1,4231,61,94,55,51,34,45.4,7.25
20.5,4115,65,93,63,60,34,45.4,6.62
20.8,3922,68,93,69,68,34,45.4,6.03
21.2,3653,71,93,75,74,34,45.4,5.38
21.5,3330,73,93,78,78,34,45.4,4.77
21.9,3005,75,93,79,79,34,45.4,4.19
22.2,2655,76,92,79,79,34,45.4,3.65
22.5,2245,78,92,78,77,34,45.4,3.01
22.8,1807,79,92,74,73,34,45.4,2.39
23.2,1354,79,92,69,68,34,45.4,1.79
23.5,910,79,92,64,61,34,45.4,1.2
23.8,1138,79,91,56,53,34,45.4,1.5
24.1,1566,79,91,49,44,34,45.4,2.07
24.4,1990,78,91,40,34,34,45.4,2.67
24.7,2394,77,91,31,23,34,45.4,3.25
25.1,2776,76,90,22,12,34,45.4,3.82
25.4,3111,74,90,26,18,34,45.4,4.39
25.7,3412,73,90,35,28,34,45.4,4.88
26.0,3694,70,90,45,39,34,45.4,5.51
26.3,3923,68,89,53,49,34,45.4,6.03
26.7,4105,65,89,61,58,34,45.4,6.6
27.0,4228,61,89,67,65,34,45.4,7.24
27.3,4288,58,89,72,71,34,45.4,7.72
27.6,4297,55,88,76,75,34,45.4,8.16
27.9,4252,51,88,78,78,34,45.4,8.71
28.2,4151,47,88,79,79,34,45.4,9.23
28.5,3993,43,87,79,79,34,45.4,9.7
28.9,3782,39,87,77,76,34,45.4,10.13
29.3,3456,33,87,72,71,34,45.4,10.94
29.6,3153,28,86,67,65,34,45.4,11.77
29.9,2803,24,86,61,58,34,45.4,12.2
30.2,2416,19,86,53,49,34,45.4,13.28
30.5,1991,13,85,45,39,34,45.4,16.0
